sequencial_candidato,uf,partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,situacao
10001,AP,PT,6,6,16600,2766.67,0,9000,6300,1300,0,14,14,16583.6,1184.54,nao_eleito
10002,RO,PT,13,13,22826,1755.85,6625,15000,1000,201,0,24,23,20325.99,846.92,nao_eleito
10002,AP,PT,17,16,158120.8,9301.22,2250,34150,62220.8,59500,0,123,108,146011.7,1187.09,eleito
10002,MS,PRONA,6,6,3001.12,500.19,0,1150,1101.12,750,0,8,8,3001.12,375.14,nao_eleito
10003,RO,PT,48,48,119820,2496.25,0,50878,0,68942,0,133,120,116416.64,875.31,eleito
10003,AP,PT,8,8,42668.26,5333.53,2250,1418.26,0,39000,0,38,37,42668.25,1122.85,nao_eleito
10003,PI,PCO,6,6,1771.21,295.2,0,0,0,1771.21,0,9,9,1771.21,196.8,nao_eleito
10003,MS,PRONA,14,7,1231,87.93,0,1231,0,0,0,17,10,696.91,40.99,nao_eleito
10003,MG,PPS,2,2,70000,35000,0,0,0,70000,0,332,278,66016.95,198.85,nao_eleito
10003,DF,PAN,5,3,11570,2314,0,0,0,0,11570,51,33,7570,148.43,nao_eleito
10004,AP,PT,2,2,6065,3032.5,6065,0,0,0,0,10,10,6060.42,606.04,nao_eleito
10004,RO,PT,68,65,111218.2,1635.56,9575,59143.2,26000,16500,0,68,67,110818.2,1629.68,eleito
10004,MT,PSOL,7,7,1769.5,252.79,1668.5,85,0,16,0,11,11,1748.99,159,nao_eleito
10004,PR,PPS,13,13,27745.5,2134.27,1375.5,4500,12500,9370,0,52,49,27682.1,532.35,nao_eleito
10004,RS,PT,61,54,240740.7,3946.57,6295.1,42948,176497.6,15000,0,181,153,184442.87,1019.02,eleito
10004,MG,PPS,24,23,21322.45,888.44,0,3690,2233.45,11897,3502,61,38,18593.65,304.81,nao_eleito
10005,RO,PT,13,13,17035,1310.38,1125,13350,0,2560,0,44,41,16035.22,364.44,nao_eleito
10005,MG,PPS,4,4,13378.5,3344.62,3378.5,0,10000,0,0,28,22,13195.24,471.26,nao_eleito
10005,MA,PSTU,1,1,500,500,0,500,0,0,0,1,1,500,500,nao_eleito
10005,RS,PT,67,64,207876.7,3102.64,1628.25,16098.45,190150,0,0,330,252,170327.15,516.14,eleito
10005,PB,PSDC,2,2,185,92.5,185,0,0,0,0,2,2,185,92.5,nao_eleito
10005,AP,PT,1,1,3815,3815,3815,0,0,0,0,13,13,3812.42,293.26,nao_eleito
10005,MS,PRONA,4,4,34000,8500,0,9000,25000,0,0,70,70,33999.84,485.71,nao_eleito
10005,TO,PSOL,29,27,9747.35,336.12,1558.34,3759.01,0,4430,0,47,44,9216.96,196.11,nao_eleito
10005,SP,PRONA,6,6,1879.42,313.24,0,0,0,1879.42,0,22,16,1818.69,82.67,nao_eleito
10005,MT,PSOL,8,7,3000,375,0,3000,0,0,0,8,4,2350,293.75,nao_eleito
10006,SP,PRONA,2,2,1293.54,646.77,0,0,0,1293.54,0,2,2,1019.2,509.6,nao_eleito
10006,MG,PPS,4,4,2110,527.5,1900,30,0,180,0,10,9,2095,209.5,nao_eleito
10006,RO,PT,1,1,1125,1125,0,0,0,0,1125,1,1,1125,1125,nao_eleito
10006,PR,PPS,12,11,2930,244.17,0,1910,0,1020,0,35,31,2753.41,78.67,nao_eleito
